Product,Pass-Through Rate,15 Day Price,30 Day Price,45 Day Price,60 Day Price
30-Year Fixed Rate - 110k Max Loan Amount,4.25,88.0534,88.0612,88.0194,87.9753
30-Year Fixed Rate - 110k Max Loan Amount,4.125,87.2447,87.2525,87.2106,87.1666
30-Year Fixed Rate - 110k Max Loan Amount,4,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 110k Max Loan Amount,3.875,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 110k Max Loan Amount,3.75,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 110k Max Loan Amount,3.625,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 110k Max Loan Amount,3.5,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,8.5,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,8.375,107.5481,107.5012,107.3004,107.1009
30-Year Fixed Rate - 85k Max Loan Amount,8.25,107.0169,106.97,106.7691,106.5696
30-Year Fixed Rate - 85k Max Loan Amount,8.125,106.4981,106.4512,106.2504,106.0509
30-Year Fixed Rate - 85k Max Loan Amount,8,105.9469,105.9,105.6991,105.4996
30-Year Fixed Rate - 85k Max Loan Amount,7.875,107.0656,107.0188,106.7844,106.5646
30-Year Fixed Rate - 85k Max Loan Amount,7.75,106.5119,106.465,106.2306,106.0109
30-Year Fixed Rate - 85k Max Loan Amount,7.625,105.9219,105.875,105.6406,105.4209
30-Year Fixed Rate - 85k Max Loan Amount,7.5,105.3219,105.275,105.0406,104.8209
30-Year Fixed Rate - 85k Max Loan Amount,7.375,105.5862,105.5394,105.3887,105.2386
30-Year Fixed Rate - 85k Max Loan Amount,7.25,105.5338,105.4869,105.3362,105.1861
30-Year Fixed Rate - 85k Max Loan Amount,7.125,104.9225,104.8756,104.725,104.5748
30-Year Fixed Rate - 85k Max Loan Amount,7,104.3062,104.2594,104.1087,103.9586
30-Year Fixed Rate - 85k Max Loan Amount,6.875,103.8994,103.8525,103.7269,103.6005
30-Year Fixed Rate - 85k Max Loan Amount,6.75,103.2719,103.225,103.0994,102.973
30-Year Fixed Rate - 85k Max Loan Amount,6.625,102.6956,102.6488,102.5232,102.3968
30-Year Fixed Rate - 85k Max Loan Amount,6.5,102.0594,102.0125,101.8869,101.7605
30-Year Fixed Rate - 85k Max Loan Amount,6.375,101.5656,101.5188,101.3932,101.2668
30-Year Fixed Rate - 85k Max Loan Amount,6.25,100.9169,100.87,100.7444,100.6185
30-Year Fixed Rate - 85k Max Loan Amount,6.125,100.2444,100.1975,100.0719,99.9482
30-Year Fixed Rate - 85k Max Loan Amount,6,99.5453,99.5062,99.3974,99.2885
30-Year Fixed Rate - 85k Max Loan Amount,5.875,98.3691,98.33,98.2212,98.1122
30-Year Fixed Rate - 85k Max Loan Amount,5.75,97.6678,97.6288,97.5199,97.411
30-Year Fixed Rate - 85k Max Loan Amount,5.625,96.8878,96.8488,96.7399,96.6318
30-Year Fixed Rate - 85k Max Loan Amount,5.5,96.1306,96.0969,96.0048,95.9123
30-Year Fixed Rate - 85k Max Loan Amount,5.375,95.3891,95.3656,95.2735,95.1811
30-Year Fixed Rate - 85k Max Loan Amount,5.25,94.6303,94.6069,94.5148,94.4223
30-Year Fixed Rate - 85k Max Loan Amount,5.125,93.6688,93.6531,93.561,93.4676
30-Year Fixed Rate - 85k Max Loan Amount,5,92.9125,92.8969,92.8048,92.7113
30-Year Fixed Rate - 85k Max Loan Amount,4.875,92.1338,92.1181,92.026,91.9326
30-Year Fixed Rate - 85k Max Loan Amount,4.75,91.335,91.3194,91.2273,91.1338
30-Year Fixed Rate - 85k Max Loan Amount,4.625,90.5313,90.5156,90.4235,90.3301
30-Year Fixed Rate - 85k Max Loan Amount,4.5,89.7175,89.7019,89.6098,89.5163
30-Year Fixed Rate - 85k Max Loan Amount,4.375,88.8472,88.855,88.8131,88.7691
30-Year Fixed Rate - 85k Max Loan Amount,4.25,88.0534,88.0612,88.0194,87.9753
30-Year Fixed Rate - 85k Max Loan Amount,4.125,87.2447,87.2525,87.2106,87.1666
30-Year Fixed Rate - 85k Max Loan Amount,4,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,3.875,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,3.75,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,3.625,N/A,N/A,N/A,N/A
30-Year Fixed Rate - 85k Max Loan Amount,3.5,N/A,N/A,N/A,N/A
30-Year Fixed Rate,8.5,N/A,N/A,N/A,N/A
30-Year Fixed Rate,8.375,105.2656,105.2188,105.0513,104.8848
30-Year Fixed Rate,8.25,104.8869,104.84,104.6726,104.506
30-Year Fixed Rate,8.125,104.5219,104.475,104.3076,104.141
30-Year Fixed Rate,8,104.1219,104.075,103.9076,103.741
30-Year Fixed Rate,7.875,104.3919,104.345,104.1441,103.9573
30-Year Fixed Rate,7.75,103.9931,103.9462,103.7454,103.5586
30-Year Fixed Rate,7.625,103.5494,103.5025,103.3016,103.1148
30-Year Fixed Rate,7.5,103.0906,103.0438,102.8429,102.6561
30-Year Fixed Rate,7.375,102.8181,102.7712,102.5704,102.3836
30-Year Fixed Rate,7.25,102.3806,102.3338,102.1402,101.9589
30-Year Fixed Rate,7.125,101.9244,101.8775,101.7027,101.5355
30-Year Fixed Rate,7,101.4456,101.3988,101.2454,101.0949
30-Year Fixed Rate,6.875,100.9319,100.885,100.7531,100.6251
30-Year Fixed Rate,6.75,100.4056,100.3588,100.2456,100.1338
30-Year Fixed Rate,6.625,99.8925,99.8456,99.7368,99.6288
30-Year Fixed Rate,6.5,99.3625,99.3156,99.2068,99.0988
30-Year Fixed Rate,6.375,98.8791,98.84,98.7647,98.6886
30-Year Fixed Rate,6.25,98.3491,98.31,98.2347,98.1586
30-Year Fixed Rate,6.125,97.7991,97.76,97.6847,97.6086
30-Year Fixed Rate,6,97.2141,97.175,97.0997,97.0236
30-Year Fixed Rate,5.875,96.6075,96.5819,96.5233,96.4637
30-Year Fixed Rate,5.75,96.0203,95.9969,95.9383,95.8787
30-Year Fixed Rate,5.625,95.3966,95.3731,95.3145,95.255
30-Year Fixed Rate,5.5,94.7453,94.7219,94.6633,94.6037
30-Year Fixed Rate,5.375,94.1725,94.1569,94.0983,94.0377
30-Year Fixed Rate,5.25,93.5238,93.5081,93.4495,93.389
30-Year Fixed Rate,5.125,92.8438,92.8281,92.7695,92.709
30-Year Fixed Rate,5,92.1438,92.1281,92.0695,92.009
30-Year Fixed Rate,4.875,91.5459,91.5381,91.4795,91.4209
30-Year Fixed Rate,4.75,90.8484,90.8406,90.782,90.7234
30-Year Fixed Rate,4.625,90.0709,90.0631,90.0045,89.9459
30-Year Fixed Rate,4.5,89.3359,89.3281,89.2695,89.2109
30-Year Fixed Rate,4.375,88.5909,88.5831,88.5389,88.4928
30-Year Fixed Rate,4.25,87.8438,87.8412,87.7994,87.7553
30-Year Fixed Rate,4.125,87.0422,87.05,87.0081,86.9641
30-Year Fixed Rate,4,86.2859,86.2938,86.2519,86.2078
30-Year Fixed Rate,3.875,85.5147,85.5225,85.4806,85.4366
30-Year Fixed Rate,3.75,84.7284,84.7362,84.6944,84.6503
30-Year Fixed Rate,3.625,N/A,N/A,N/A,N/A
30-Year Fixed Rate,3.5,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,8.5,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,8.375,102.9281,102.8812,102.6301,102.3812
30- Year Fixed Rate High Balance,8.25,102.5994,102.5525,102.3014,102.0525
30- Year Fixed Rate High Balance,8.125,102.2819,102.235,101.9839,101.735
30- Year Fixed Rate High Balance,8,101.9344,101.8875,101.6364,101.3875
30- Year Fixed Rate High Balance,7.875,102.5669,102.52,102.2354,101.9682
30- Year Fixed Rate High Balance,7.75,102.2194,102.1725,101.8879,101.6207
30- Year Fixed Rate High Balance,7.625,101.8331,101.7862,101.5017,101.2345
30- Year Fixed Rate High Balance,7.5,101.4344,101.3875,101.1029,100.8357
30- Year Fixed Rate High Balance,7.375,101.54,101.4931,101.3425,101.1884
30- Year Fixed Rate High Balance,7.25,101.1912,101.1444,100.9937,100.8397
30- Year Fixed Rate High Balance,7.125,100.8312,100.7844,100.6337,100.4797
30- Year Fixed Rate High Balance,7,100.4562,100.4094,100.2587,100.1047
30- Year Fixed Rate High Balance,6.875,100.0638,100.0169,99.8662,99.7122
30- Year Fixed Rate High Balance,6.75,99.6062,99.5594,99.4087,99.2547
30- Year Fixed Rate High Balance,6.625,99.1225,99.0756,98.925,98.7709
30- Year Fixed Rate High Balance,6.5,98.6162,98.5694,98.4187,98.2647
30- Year Fixed Rate High Balance,6.375,98.0866,98.0475,97.9387,97.8258
30- Year Fixed Rate High Balance,6.25,97.6266,97.5875,97.4787,97.3658
30- Year Fixed Rate High Balance,6.125,97.1541,97.115,97.0062,96.8933
30- Year Fixed Rate High Balance,6,96.6391,96.6,96.4912,96.3783
30- Year Fixed Rate High Balance,5.875,96.0866,96.0475,95.9387,95.8258
30- Year Fixed Rate High Balance,5.75,95.4916,95.4525,95.3437,95.2308
30- Year Fixed Rate High Balance,5.625,94.8616,94.8225,94.7137,94.6008
30- Year Fixed Rate High Balance,5.5,94.1941,94.155,94.0462,93.9333
30- Year Fixed Rate High Balance,5.375,92.8603,92.8369,92.7281,92.6152
30- Year Fixed Rate High Balance,5.25,92.2003,92.1769,92.0681,91.9552
30- Year Fixed Rate High Balance,5.125,91.5516,91.5281,91.4193,91.3064
30- Year Fixed Rate High Balance,5,90.8428,90.8194,90.7106,90.5977
30- Year Fixed Rate High Balance,4.875,89.2738,89.2581,89.1158,88.973
30- Year Fixed Rate High Balance,4.75,88.5838,88.5681,88.4258,88.283
30- Year Fixed Rate High Balance,4.625,87.8425,87.8269,87.6846,87.5417
30- Year Fixed Rate High Balance,4.5,87.1388,87.1231,86.9808,86.838
30- Year Fixed Rate High Balance,4.375,85.5684,85.5606,85.4183,85.2774
30- Year Fixed Rate High Balance,4.25,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,4.125,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,4,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,3.875,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,3.75,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,3.625,N/A,N/A,N/A,N/A
30- Year Fixed Rate High Balance,3.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Second Home,8.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Second Home,8.375,105.9619,105.915,105.7476,105.581
30 Year Fixed Rate - Second Home,8.25,105.4869,105.44,105.2726,105.106
30 Year Fixed Rate - Second Home,8.125,105.0169,104.97,104.8026,104.636
30 Year Fixed Rate - Second Home,8,104.5219,104.475,104.3076,104.141
30 Year Fixed Rate - Second Home,7.875,105.2731,105.2262,105.0086,104.8054
30 Year Fixed Rate - Second Home,7.75,104.7744,104.7275,104.5099,104.3066
30 Year Fixed Rate - Second Home,7.625,104.3006,104.2538,104.0361,103.8329
30 Year Fixed Rate - Second Home,7.5,103.7594,103.7125,103.4949,103.2916
30 Year Fixed Rate - Second Home,7.375,104.2319,104.185,104.0511,103.9174
30 Year Fixed Rate - Second Home,7.25,103.6919,103.645,103.5111,103.3774
30 Year Fixed Rate - Second Home,7.125,103.2319,103.185,103.0511,102.9174
30 Year Fixed Rate - Second Home,7,102.6594,102.6125,102.4786,102.3449
30 Year Fixed Rate - Second Home,6.875,102.3169,102.27,102.1612,102.0512
30 Year Fixed Rate - Second Home,6.75,101.7456,101.6988,101.5899,101.48
30 Year Fixed Rate - Second Home,6.625,101.1644,101.1175,101.0087,100.8988
30 Year Fixed Rate - Second Home,6.5,100.5656,100.5188,100.4099,100.3
30 Year Fixed Rate - Second Home,6.375,100.0628,100.0238,99.9317,99.8392
30 Year Fixed Rate - Second Home,6.25,99.4616,99.4225,99.3304,99.2379
30 Year Fixed Rate - Second Home,6.125,98.8516,98.8125,98.7204,98.6279
30 Year Fixed Rate - Second Home,6,98.2141,98.175,98.0829,97.9904
30 Year Fixed Rate - Second Home,5.875,97.0459,97.0225,96.9639,96.9024
30 Year Fixed Rate - Second Home,5.75,96.4072,96.3838,96.3252,96.2636
30 Year Fixed Rate - Second Home,5.625,95.7447,95.7212,95.6627,95.6011
30 Year Fixed Rate - Second Home,5.5,95.0547,95.0312,94.9727,94.9111
30 Year Fixed Rate - Second Home,5.375,94.4275,94.4119,94.3533,94.2908
30 Year Fixed Rate - Second Home,5.25,93.7375,93.7219,93.6633,93.6008
30 Year Fixed Rate - Second Home,5.125,92.9675,92.9519,92.8933,92.8308
30 Year Fixed Rate - Second Home,5,92.225,92.2094,92.1508,92.0883
30 Year Fixed Rate - Second Home,4.875,91.7047,91.6969,91.6383,91.5797
30 Year Fixed Rate - Second Home,4.75,90.9709,90.9631,90.9045,90.8459
30 Year Fixed Rate - Second Home,4.625,90.2084,90.2006,90.142,90.0834
30 Year Fixed Rate - Second Home,4.5,89.4359,89.4281,89.3695,89.3109
30 Year Fixed Rate - Second Home,4.375,88.7797,88.7875,88.7456,88.7016
30 Year Fixed Rate - Second Home,4.25,88.0084,88.0162,87.9744,87.9303
30 Year Fixed Rate - Second Home,4.125,87.2297,87.2375,87.1956,87.1516
30 Year Fixed Rate - Second Home,4,86.4359,86.4438,86.4019,86.3578
30 Year Fixed Rate - Second Home,3.875,85.6347,85.6425,85.6006,85.5566
30 Year Fixed Rate - Second Home,3.75,84.8184,84.8262,84.7844,84.7403
30 Year Fixed Rate - Second Home,3.625,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Second Home,3.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,8.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,8.375,107.4469,107.4,107.1991,106.9996
30 Year Fixed Rate - New York,8.25,106.9269,106.88,106.6791,106.4796
30 Year Fixed Rate - New York,8.125,106.4231,106.3762,106.1754,105.9759
30 Year Fixed Rate - New York,8,105.8719,105.825,105.6241,105.4246
30 Year Fixed Rate - New York,7.875,107.1056,107.0588,106.8244,106.6046
30 Year Fixed Rate - New York,7.75,106.5544,106.5075,106.2731,106.0534
30 Year Fixed Rate - New York,7.625,105.9419,105.895,105.6606,105.4409
30 Year Fixed Rate - New York,7.5,105.3094,105.2625,105.0281,104.8084
30 Year Fixed Rate - New York,7.375,105.1638,105.1169,104.9662,104.8161
30 Year Fixed Rate - New York,7.25,104.5288,104.4819,104.3312,104.1811
30 Year Fixed Rate - New York,7.125,103.8612,103.8144,103.6637,103.5136
30 Year Fixed Rate - New York,7,103.2062,103.1594,103.0087,102.8586
30 Year Fixed Rate - New York,6.875,102.7062,102.6594,102.5121,102.3668
30 Year Fixed Rate - New York,6.75,102.0612,102.0144,101.8637,101.7153
30 Year Fixed Rate - New York,6.625,101.3781,101.3312,101.2057,101.0793
30 Year Fixed Rate - New York,6.5,100.7156,100.6688,100.5432,100.4168
30 Year Fixed Rate - New York,6.375,100.2266,100.1875,100.0787,99.9697
30 Year Fixed Rate - New York,6.25,99.5628,99.5238,99.4149,99.306
30 Year Fixed Rate - New York,6.125,98.8703,98.8312,98.7224,98.6135
30 Year Fixed Rate - New York,6,98.1453,98.1062,97.9974,97.8885
30 Year Fixed Rate - New York,5.875,97.5203,97.4969,97.4215,97.3455
30 Year Fixed Rate - New York,5.75,96.8003,96.7769,96.7015,96.6255
30 Year Fixed Rate - New York,5.625,96.0516,96.0281,95.9528,95.8768
30 Year Fixed Rate - New York,5.5,95.2703,95.2469,95.1715,95.0955
30 Year Fixed Rate - New York,5.375,94.8338,94.8181,94.7428,94.6658
30 Year Fixed Rate - New York,5.25,94.0613,94.0456,93.9703,93.8933
30 Year Fixed Rate - New York,5.125,93.2313,93.2156,93.1403,93.0633
30 Year Fixed Rate - New York,5,92.4188,92.4031,92.3278,92.2508
30 Year Fixed Rate - New York,4.875,91.9134,91.9056,91.847,91.7884
30 Year Fixed Rate - New York,4.75,91.1009,91.0931,91.0345,90.9759
30 Year Fixed Rate - New York,4.625,90.2722,90.2644,90.2058,90.1472
30 Year Fixed Rate - New York,4.5,89.4859,89.4781,89.4195,89.3609
30 Year Fixed Rate - New York,4.375,88.8747,88.8825,88.8406,88.7966
30 Year Fixed Rate - New York,4.25,88.0884,88.0962,88.0544,88.0103
30 Year Fixed Rate - New York,4.125,87.2947,87.3025,87.2606,87.2166
30 Year Fixed Rate - New York,4,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,3.875,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,3.75,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,3.625,N/A,N/A,N/A,N/A
30 Year Fixed Rate - New York,3.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,8.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,8.375,106.3369,106.29,106.1058,105.9228
30 Year Fixed Rate - Investment Property,8.25,105.8619,105.815,105.6308,105.4478
30 Year Fixed Rate - Investment Property,8.125,105.3919,105.345,105.1608,104.9778
30 Year Fixed Rate - Investment Property,8,104.8969,104.85,104.6658,104.4828
30 Year Fixed Rate - Investment Property,7.875,105.5075,105.4606,105.243,105.0397
30 Year Fixed Rate - Investment Property,7.75,105.0088,104.9619,104.7442,104.541
30 Year Fixed Rate - Investment Property,7.625,104.535,104.4881,104.2705,104.0672
30 Year Fixed Rate - Investment Property,7.5,103.9938,103.9469,103.7292,103.526
30 Year Fixed Rate - Investment Property,7.375,104.4194,104.3725,104.2386,104.1049
30 Year Fixed Rate - Investment Property,7.25,103.8794,103.8325,103.6986,103.5649
30 Year Fixed Rate - Investment Property,7.125,103.4194,103.3725,103.2386,103.1049
30 Year Fixed Rate - Investment Property,7,102.8469,102.8,102.6661,102.5324
30 Year Fixed Rate - Investment Property,6.875,102.395,102.3481,102.2393,102.1294
30 Year Fixed Rate - Investment Property,6.75,101.8238,101.7769,101.6681,101.5581
30 Year Fixed Rate - Investment Property,6.625,101.2425,101.1956,101.0868,100.9769
30 Year Fixed Rate - Investment Property,6.5,100.6438,100.5969,100.4881,100.3781
30 Year Fixed Rate - Investment Property,6.375,100.1878,100.1488,100.0567,99.9642
30 Year Fixed Rate - Investment Property,6.25,99.5866,99.5475,99.4554,99.3629
30 Year Fixed Rate - Investment Property,6.125,98.9766,98.9375,98.8454,98.7529
30 Year Fixed Rate - Investment Property,6,98.3391,98.3,98.2079,98.1154
30 Year Fixed Rate - Investment Property,5.875,97.1403,97.1162,97.0409,96.9649
30 Year Fixed Rate - Investment Property,5.75,96.5009,96.4775,96.4022,96.3261
30 Year Fixed Rate - Investment Property,5.625,95.8384,95.815,95.7397,95.6636
30 Year Fixed Rate - Investment Property,5.5,95.1484,95.125,95.0497,94.9736
30 Year Fixed Rate - Investment Property,5.375,94.4275,94.4119,94.3533,94.2908
30 Year Fixed Rate - Investment Property,5.25,93.7375,93.7219,93.6633,93.6008
30 Year Fixed Rate - Investment Property,5.125,92.9675,92.9519,92.8933,92.8308
30 Year Fixed Rate - Investment Property,5,92.225,92.2094,92.1508,92.0883
30 Year Fixed Rate - Investment Property,4.875,91.7047,91.6969,91.6383,91.5797
30 Year Fixed Rate - Investment Property,4.75,90.9709,90.9631,90.9045,90.8459
30 Year Fixed Rate - Investment Property,4.625,90.2084,90.2006,90.142,90.0834
30 Year Fixed Rate - Investment Property,4.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,4.375,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,4.25,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,4.125,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,4,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,3.875,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,3.75,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,3.625,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Investment Property,3.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Credit Score less than 700,8.5,N/A,N/A,N/A,N/A
30 Year Fixed Rate - Credit Score less than 700,8.375,105.5156,105.4688,105.3013,105.1348
30 Year Fixed Rate - Credit Score less than 700,8.25,105.1369,105.09,104.9226,104.756
30 Year Fixed Rate - Credit Score less than 700,8.125,104.7719,104.725,104.5576,104.391
30 Year Fixed Rate - Credit Score less than 700,8,104.3719,104.325,104.1576,103.991
30 Year Fixed Rate - Credit Score less than 700,7.875,104.6419,104.595,104.3941,104.2073
30 Year Fixed Rate - Credit Score less than 700,7.75,104.2431,104.1962,103.9954,103.8086
30 Year Fixed Rate - Credit Score less than 700,7.625,103.7994,103.7525,103.5516,103.3648
30 Year Fixed Rate - Credit Score less than 700,7.5,103.3406,103.2938,103.0929,102.9061
30 Year Fixed Rate - Credit Score less than 700,7.375,102.9681,102.9212,102.7204,102.5336
30 Year Fixed Rate - Credit Score less than 700,7.25,102.4806,102.4338,102.2486,102.0736
30 Year Fixed Rate - Credit Score less than 700,7.125,101.9744,101.9275,101.7611,101.6012
30 Year Fixed Rate - Credit Score less than 700,7,101.4456,101.3988,101.2538,101.1125
30 Year Fixed Rate - Credit Score less than 700,6.875,101.035,100.9881,100.8897,100.7907
30 Year Fixed Rate - Credit Score less than 700,6.75,100.5319,100.485,100.3929,100.2995
30 Year Fixed Rate - Credit Score less than 700,6.625,100.0269,99.98,99.8879,99.7945
30 Year Fixed Rate - Credit Score less than 700,6.5,99.4969,99.45,99.3579,99.2645
30 Year Fixed Rate - Credit Score less than 700,6.375,99.0291,98.99,98.9147,98.8386
30 Year Fixed Rate - Credit Score less than 700,6.25,98.4991,98.46,98.3847,98.3086
30 Year Fixed Rate - Credit Score less than 700,6.125,97.9491,97.91,97.8347,97.7586
30 Year Fixed Rate - Credit Score less than 700,6,97.3641,97.325,97.2497,97.1736
30 Year Fixed Rate - Credit Score less than 700,5.875,96.7575,96.7319,96.6733,96.6137
30 Year Fixed Rate - Credit Score less than 700,5.75,96.1703,96.1469,96.0883,96.0287
30 Year Fixed Rate - Credit Score less than 700,5.625,95.5466,95.5231,95.4645,95.405
30 Year Fixed Rate - Credit Score less than 700,5.5,94.8953,94.8719,94.8133,94.7537
30 Year Fixed Rate - Credit Score less than 700,5.375,94.3225,94.3069,94.2483,94.1877
30 Year Fixed Rate - Credit Score less than 700,5.25,93.6738,93.6581,93.5995,93.539
30 Year Fixed Rate - Credit Score less than 700,5.125,92.9938,92.9781,92.9195,92.859
30 Year Fixed Rate - Credit Score less than 700,5,92.2938,92.2781,92.2195,92.159
30 Year Fixed Rate - Credit Score less than 700,4.875,91.6959,91.6881,91.6295,91.5709
30 Year Fixed Rate - Credit Score less than 700,4.75,90.9984,90.9906,90.932,90.8734
30 Year Fixed Rate - Credit Score less than 700,4.625,90.2209,90.2131,90.1545,90.0959
30 Year Fixed Rate - Credit Score less than 700,4.5,89.4859,89.4781,89.4195,89.3609
30 Year Fixed Rate - Credit Score less than 700,4.375,88.7409,88.7331,88.6889,88.6428
30 Year Fixed Rate - Credit Score less than 700,4.25,87.9938,87.9912,87.9494,87.9053
30 Year Fixed Rate - Credit Score less than 700,4.125,87.2422,87.25,87.2081,87.1641
30 Year Fixed Rate - Credit Score less than 700,4,86.4859,86.4938,86.4519,86.4078
30 Year Fixed Rate - Credit Score less than 700,3.875,85.7147,85.7225,85.6806,85.6366
30 Year Fixed Rate - Credit Score less than 700,3.75,84.9284,84.9362,84.8944,84.8503
30 Year Fixed Rate - Credit Score less than 700,3.625,84.1122,84.12,84.0781,84.0341
30 Year Fixed Rate - Credit Score less than 700,3.5,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,8.375,105.9573,105.9104,105.743,105.5764
20-Year Fixed Rate - 175k Max Loan Amount,8.25,105.5751,105.5282,105.3608,105.1942
20-Year Fixed Rate - 175k Max Loan Amount,8.125,105.2574,105.2106,105.0431,104.8766
20-Year Fixed Rate - 175k Max Loan Amount,8,104.9098,104.8629,104.6955,104.5289
20-Year Fixed Rate - 175k Max Loan Amount,7.875,105.0299,104.983,104.7822,104.5954
20-Year Fixed Rate - 175k Max Loan Amount,7.75,104.681,104.6342,104.4333,104.2465
20-Year Fixed Rate - 175k Max Loan Amount,7.625,104.2913,104.2444,104.0435,103.8567
20-Year Fixed Rate - 175k Max Loan Amount,7.5,103.889,103.8422,103.6413,103.4545
20-Year Fixed Rate - 175k Max Loan Amount,7.375,103.4743,103.4274,103.2265,103.0397
20-Year Fixed Rate - 175k Max Loan Amount,7.25,103.047,103.0002,102.8006,102.6148
20-Year Fixed Rate - 175k Max Loan Amount,7.125,102.6038,102.557,102.3735,102.1997
20-Year Fixed Rate - 175k Max Loan Amount,7,102.1434,102.094,101.9293,101.7709
20-Year Fixed Rate - 175k Max Loan Amount,6.875,101.8265,101.7874,101.6618,101.5354
20-Year Fixed Rate - 175k Max Loan Amount,6.75,101.3958,101.3567,101.2311,101.1047
20-Year Fixed Rate - 175k Max Loan Amount,6.625,100.9547,100.9156,100.7901,100.6637
20-Year Fixed Rate - 175k Max Loan Amount,6.5,100.4912,100.4521,100.3265,100.2001
20-Year Fixed Rate - 175k Max Loan Amount,6.375,100.2336,100.2179,100.1091,100.0002
20-Year Fixed Rate - 175k Max Loan Amount,6.25,99.7672,99.7516,99.6428,99.5338
20-Year Fixed Rate - 175k Max Loan Amount,6.125,99.2886,99.273,99.1642,99.0552
20-Year Fixed Rate - 175k Max Loan Amount,6,98.7772,98.7616,98.6528,98.5438
20-Year Fixed Rate - 175k Max Loan Amount,5.875,98.2792,98.2948,98.2028,98.1103
20-Year Fixed Rate - 175k Max Loan Amount,5.75,97.7666,97.7822,97.6901,97.5976
20-Year Fixed Rate - 175k Max Loan Amount,5.625,97.2193,97.2349,97.1428,97.0503
20-Year Fixed Rate - 175k Max Loan Amount,5.5,96.6495,96.6651,96.573,96.4805
20-Year Fixed Rate - 175k Max Loan Amount,5.375,96.0572,96.0728,95.9807,95.8882
20-Year Fixed Rate - 175k Max Loan Amount,5.25,95.4402,95.4558,95.3637,95.2712
20-Year Fixed Rate - 175k Max Loan Amount,5.125,94.8085,94.8242,94.7321,94.6396
20-Year Fixed Rate - 175k Max Loan Amount,5,94.1594,94.175,94.0829,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.875,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.75,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.625,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.5,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.375,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.25,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4.125,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,4,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,3.875,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,3.75,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,3.625,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 175k Max Loan Amount,3.5,N/A,N/A,N/A,N/A
20-Year Fixed Rate - 150k Max Loan Amount,8.375,105.9416,105.8948,105.7357,105.5764
20-Year Fixed Rate - 150k Max Loan Amount,8.25,105.5594,105.5126,105.3535,105.1942
20-Year Fixed Rate - 150k Max Loan Amount,8.125,105.2418,105.1949,105.0359,104.8766
